,Compound,Negative,Neutral,Positive,Time Stamp,Tweet,Tweet_Ago,User
0,-0.5994,0.494,0.506,0.0,09-21-2017 14:52:03,'We are at war' https://t.co/Uz5k2mKR8l,0,@BBCWorld
1,0.2023,0.0,0.833,0.167,09-21-2017 09:22:25,Florian Philippot: Le Pen's top aide quits National Front https://t.co/sIsR1yKXx2,1,@BBCWorld
2,0.0,0.0,1.0,0.0,09-21-2017 04:41:39,Moving on up https://t.co/1s6JB2gAtV,2,@BBCWorld
3,0.0,0.0,1.0,0.0,09-20-2017 17:21:49,Iranian President Rouhani hits back at Donald Trump's UN speech https://t.co/B0tRxBcImh,3,@BBCWorld
4,0.3182,0.193,0.504,0.303,09-20-2017 12:31:50,Kenya's Supreme Court criticises IEBC electoral commission https://t.co/bqnGW65u5D,4,@BBCWorld
5,0.0,0.0,1.0,0.0,09-20-2017 07:23:53,"RT @BBCBenThompson: 4,000 jobs to go as India's Tata Steel &amp; German rival, Thyssenkrupp, merge European steel arms. CFO tells me deal safeg…",5,@BBCWorld
6,-0.4588,0.6,0.4,0.0,09-20-2017 04:26:47,'Abandoned wives' https://t.co/qN0rd4MG7I,6,@BBCWorld
7,0.0,0.0,1.0,0.0,09-19-2017 23:58:45,ICYMI: How did the international community react to Trump's #UNGA speech? @mbesheer and @BBCBarbaraPlett discuss… https://t.co/K1RkInRQxB,7,@BBCWorld
8,-0.743,0.24,0.76,0.0,09-19-2017 15:41:55,"RT @BBCJLandale: By any standards, it is extraordinary to hear a US president at the UN threaten the total destruction of another nation",8,@BBCWorld
9,-0.25,0.167,0.833,0.0,09-19-2017 12:58:14,"House Democrat Leader @NancyPelosi shouted down in Dreamers protest
 
https://t.co/NmX4MrGiyr https://t.co/qGjzxBHNqA",9,@BBCWorld
10,0.0,0.0,1.0,0.0,09-19-2017 09:33:09,"RT @BBCNewsEnts: Elisabeth Moss had a hidden message ""to the patriarchy"" on her shoes at the #Emmys https://t.co/i7pxbhEdyU via @karla_welc…",10,@BBCWorld
11,-0.4767,0.181,0.819,0.0,09-19-2017 03:54:19,"RT @JonahFisherBBC: Suu Kyi says ""hordes of refugees"" fleeing to Bangladesh. Poor choice of word.",11,@BBCWorld
12,-0.6369,0.366,0.634,0.0,09-18-2017 22:00:37,"Stanislav Petrov, who averted possible nuclear war, dies at 77 https://t.co/vQ0kmUiRyT",12,@BBCWorld
13,-0.1779,0.108,0.821,0.072,09-18-2017 13:55:39,"RT @BBCNewsNI: Irishman Ibrahim Halawa cleared of charges in Egypt, after spending four years in jail 
 https://t.co/yoE2EsjZUF https://t.c…",13,@BBCWorld
14,-0.4003,0.172,0.828,0.0,09-18-2017 08:56:22,"Scout Schultz is heard saying ""Shoot me!"" in a video filmed by fellow students https://t.co/ZEszBfFWlw",14,@BBCWorld
15,-0.0258,0.181,0.643,0.175,09-18-2017 01:46:34,RT @BBCNewsAsia: Man dies at haunted house attraction in Hong Kong: https://t.co/HmnXbQ0v8K https://t.co/Gbs3dNiPQf,15,@BBCWorld
16,0.6249,0.0,0.796,0.204,09-17-2017 15:41:57,"RT @BBCSport: A great gesture.

Denmark's men's football team have offered the women's side £60,000 a year.

https://t.co/L53JN2l3fE https:…",16,@BBCWorld
17,-0.4215,0.219,0.781,0.0,09-17-2017 00:49:39,Paris climate deal: US denies it will stay in accord https://t.co/yWPfaB52X4,17,@BBCWorld
18,0.0,0.0,1.0,0.0,09-16-2017 10:38:17,Irma: Apocalypse and the aftermath https://t.co/MQrrbsYu4x,18,@BBCWorld
19,0.0,0.0,1.0,0.0,09-15-2017 21:06:28,'Russia expects team at Winter Olympics' https://t.co/WWZo15CQ0H,19,@BBCWorld
20,-0.6659,0.214,0.786,0.0,09-15-2017 14:55:04,"""We have to be very smart..and very tough"" - @POTUS says he's going to call UK PM to discuss Tube terror attack… https://t.co/ghKOTBUxxc",20,@BBCWorld
21,0.0,0.0,1.0,0.0,09-15-2017 10:49:08,"RT @BBCBreaking: Blast caused by detonation of improvised explosive device - @metpoliceuk on Parsons Green tube explosion
 
https://t.co/9Y…",21,@BBCWorld
22,-0.3182,0.247,0.753,0.0,09-15-2017 04:13:39,Irma: Florida nursing home loses Medicaid funding https://t.co/n01J5ZoRDR,22,@BBCWorld
23,-0.6249,0.291,0.709,0.0,09-14-2017 23:39:43,Migrant crisis: Is Bilbao the new back door to Britain? https://t.co/X8rBUi7F3E,23,@BBCWorld
24,0.5859,0.0,0.798,0.202,09-14-2017 16:01:39,"""You've a steadfast ally in the United States - we'll stand by our allies as Brexit continues to take shape"": Rex T… https://t.co/XI7Pkg0zZG",24,@BBCWorld
25,-0.1531,0.275,0.5,0.225,09-14-2017 09:19:54,Abducted Finnish aid worker freed in Afghanistan https://t.co/VDggTPflWN,25,@BBCWorld
26,-0.7579,0.333,0.667,0.0,09-14-2017 04:29:11,"RT @BBCNewsAsia: ""One of Malaysia's worst fire disasters."" 

The story from Kuala Lumpur: https://t.co/ZdKeagTOQq https://t.co/J7LPG5FNup",26,@BBCWorld
27,0.0,0.0,1.0,0.0,09-14-2017 00:14:19,Why are Pakistan's pirated DVDs dying out? https://t.co/XQPMWvzqOA,27,@BBCWorld
28,0.0,0.0,1.0,0.0,09-13-2017 17:20:58,Reality check https://t.co/lK7ZA0Li0n,28,@BBCWorld
29,0.0,0.0,1.0,0.0,09-13-2017 13:47:31,Deaths at US nursing home hit by Irma https://t.co/wcUmdXAbDV,29,@BBCWorld
30,-0.6908,0.32,0.68,0.0,09-13-2017 07:08:27,India rape: Uncle did not father girl's baby - DNA test https://t.co/hiF0GBgQDu,30,@BBCWorld
31,0.4767,0.155,0.485,0.359,09-13-2017 01:09:02,Rebel Wilson wins large defamation payout https://t.co/hqpoh0Bmcq,31,@BBCWorld
32,0.0516,0.072,0.805,0.123,09-12-2017 18:28:58,"RT @bbcweather: Hurricane #Jose needs to be watched carefully. Huge uncertainty in track, but a couple of models take it across #Bahamas &amp;…",32,@BBCWorld
33,-0.9022,0.581,0.419,0.0,09-12-2017 14:00:31,Syria war: 'Russian air strikes' kill dozens in Deir al-Zour https://t.co/RpPNoxyzJ8,33,@BBCWorld
34,0.4939,0.0,0.849,0.151,09-12-2017 07:43:07,"RT @BBCNewsbeat: Beer in one hand, baby in another. So is this ""beautiful"" or ""disgusting""?

Full story: https://t.co/LOLIzxQrdk https://t.…",34,@BBCWorld
35,0.0,0.0,1.0,0.0,09-12-2017 01:42:41,North Korea slapped with new UN sanctions after unanimous UN vote: https://t.co/dDsFmpmFsl https://t.co/7ZuBBpXL6Q,35,@BBCWorld
36,-0.6249,0.157,0.843,0.0,09-11-2017 16:17:09,"RT @BBCJamesCook: In the Caribbean, the crisis is far from over. Follow @BBCLBicker for the latest from the British Virgin Islands after #H…",36,@BBCWorld
37,-0.3182,0.161,0.839,0.0,09-11-2017 12:10:32,"RT @BBCBreaking: Irma weakens to a tropical storm after battering Florida, forecasters say https://t.co/VIsZZiqZ8L",37,@BBCWorld
38,0.5423,0.089,0.667,0.244,09-11-2017 07:40:08,RT @BBCNewsAsia: India lodges diplomatic protest with Australia over 'offensive' ad depicting Hindu god Ganesha enjoying lamb: https://t.co…,38,@BBCWorld
39,0.0,0.0,1.0,0.0,09-11-2017 02:31:31,RT @BBCNewsAsia: These women in India are breaking tradition to eat with their families for the very first time: https://t.co/1FzMHiobwZ ht…,39,@BBCWorld
40,0.6249,0.089,0.683,0.229,09-10-2017 22:53:24,"RT @BBCSport: He's done it.

Rafael Nadal has won his 16th Grand Slam title.

He beats Kevin Anderson 6-3 6-3 6-4. 

#USOpen: https://t.co/…",40,@BBCWorld
41,-0.6124,0.227,0.773,0.0,09-10-2017 16:51:22,"RT @bbcweather: Vicious #thunderstorms continue to track across central #Europe. Flooding, landslides and travel disruption are likely on #…",41,@BBCWorld
42,0.0,0.0,1.0,0.0,09-10-2017 13:11:33,Hurricane Irma hits Florida islands https://t.co/W8LFkKCrGd,42,@BBCWorld
43,0.6908,0.134,0.593,0.273,09-10-2017 00:02:58,RT @BBCLBicker: Royal Engineers and Marine Commandos have arrived in #tortola to help. One woman said she cried tears of joy to see help ar…,43,@BBCWorld
44,0.0,0.0,1.0,0.0,09-09-2017 14:03:52,"New mummies discovered in tomb near Luxor, Egypt https://t.co/7hJz5FnLWS",44,@BBCWorld
45,0.296,0.0,0.476,0.524,09-09-2017 00:34:30,Red alert https://t.co/pItLIRhFTt,45,@BBCWorld
46,0.0,0.0,1.0,0.0,09-08-2017 17:58:30,Hurricane Irma: Caribbean counts the cost of deadly storm https://t.co/jhW1q5goPp,46,@BBCWorld
47,-0.6597,0.403,0.597,0.0,09-08-2017 12:29:27,Negroponte: US strike on North Korea would 'wreak havoc' https://t.co/QVFuBV9ygr,47,@BBCWorld
48,0.3182,0.0,0.874,0.126,09-08-2017 08:18:14,"RT @BBCSport: Bibiana Steinhaus will become the Bundesliga's first female referee.

A huge moment for the league.

https://t.co/zsUzcTXD9F…",48,@BBCWorld
49,0.0,0.0,1.0,0.0,09-08-2017 02:16:13,"Australians surrender 26,000 guns in national amnesty: https://t.co/mJhnrfXvhy https://t.co/r1xqtokt9K",49,@BBCWorld
50,-0.2263,0.125,0.784,0.09,09-07-2017 20:45:27,"RT @BBCBreaking: Jose upgraded to a major hurricane with winds of 120mph, as Irma continues to cause huge damage in the Caribbean https://t…",50,@BBCWorld
51,0.0,0.0,1.0,0.0,09-07-2017 14:51:32,BBC witnesses Myanmar Muslim village burn https://t.co/I1yxKHQnQg,51,@BBCWorld
52,-0.1531,0.167,0.833,0.0,09-07-2017 09:58:13,"Why is Bulgaria's population falling off a cliff? ?

https://t.co/ytoXA5avtu https://t.co/BmuSEfR5YL",52,@BBCWorld
53,0.0,0.0,1.0,0.0,09-07-2017 05:09:03,"RT @BBCNewsAsia: China's Dalian Wanda Group sues over ""malicious rumours"" about billionaire chairman Wang Jianlin: https://t.co/dXRDvHvXXM…",53,@BBCWorld
54,0.5859,0.0,0.678,0.322,09-06-2017 22:51:45,Aeroflot flight attendants win compensation over uniform size https://t.co/MblHPPMgLn,54,@BBCWorld
55,0.0,0.0,1.0,0.0,09-06-2017 15:52:26,"Follow the latest news on #hurricaneirma

https://t.co/ggLkeQh7Qr https://t.co/oakkbTAs9i",55,@BBCWorld
56,-0.4939,0.151,0.849,0.0,09-06-2017 12:26:52,"RT @BBCBreaking: Hurricane Irma has caused major flooding and damage to buildings on several Caribbean islands, France says https://t.co/zd…",56,@BBCWorld
57,0.4939,0.0,0.878,0.122,09-06-2017 06:56:33,RT @BBCBusiness: On #BBCBizLive: As Ryanair changes the rules on hand baggage as we're taking too much on board - let us know your stories…,57,@BBCWorld
58,0.0,0.0,1.0,0.0,09-05-2017 23:19:27,New insurgency https://t.co/dymncVLVYd,58,@BBCWorld
59,0.0,0.0,1.0,0.0,09-05-2017 15:16:09,For more on Hurricane Irma https://t.co/L1foeCZQ3c https://t.co/3Ec1KR2Np2,59,@BBCWorld
60,-0.4404,0.333,0.523,0.144,09-05-2017 10:11:59,Chinese man jailed for helping net users evade state blocks https://t.co/9Y0n2bR2AB,60,@BBCWorld
61,0.4215,0.0,0.851,0.149,09-05-2017 06:10:09,RT @BBCSteveR: The father who saved his children from IS in Syria. My report from Dagestan. https://t.co/lGY94EH24J,61,@BBCWorld
62,0.1779,0.0,0.638,0.362,09-04-2017 23:12:04,Escape from IS https://t.co/fnYfY6SYtz,62,@BBCWorld
63,0.0,0.0,1.0,0.0,09-04-2017 15:47:34,Hong Kong replaces BBC world radio with Chinese broadcaster https://t.co/SeTtGtPd0T,63,@BBCWorld
64,0.0,0.0,1.0,0.0,09-04-2017 10:42:12,Rocco Morabito: Italian mafia boss held in Uruguay https://t.co/rDlGXkumN8,64,@BBCWorld
65,0.0,0.0,1.0,0.0,09-04-2017 01:18:40,Burning fuel hits crowd at Australian drag-racing event https://t.co/rt8t246v5u,65,@BBCWorld
66,0.765,0.0,0.752,0.248,09-03-2017 15:38:53,"RT @BBCSport: Lewis Hamilton has had the perfect weekend ??

He leads the #F1 championship for the first time in 2017 https://t.co/IgRu0YXy…",66,@BBCWorld
67,-0.6249,0.672,0.328,0.0,09-03-2017 04:57:11,Crisis management https://t.co/vJOrKwKuC4,67,@BBCWorld
68,-0.1531,0.071,0.929,0.0,09-02-2017 11:37:46,"RT @BBCSport: Rain is falling &amp; #ItalianGP qualifying could be very eventful, if it gets under way at all.

Live page https://t.co/Eb4oSSe2…",68,@BBCWorld
69,0.1511,0.0,0.85,0.15,09-02-2017 01:13:33,Canada hospital not charged after switching men at birth https://t.co/F1keBsOh3F,69,@BBCWorld
70,0.0,0.0,1.0,0.0,09-01-2017 17:27:10,Multiple waterspouts spotted in Sochi https://t.co/IBaLjvyBss,70,@BBCWorld
71,0.5423,0.067,0.67,0.263,09-01-2017 08:57:48,"Young fan dragged away by Lionel Messi's security, finally gets to meet his idol https://t.co/3OtN8IVFep",71,@BBCWorld
72,-0.8176,0.385,0.615,0.0,09-01-2017 01:49:17,Man arrested in Melbourne over viral video showing 'abhorrent' killing of kangaroo: https://t.co/00OYJTA0hl https://t.co/EiREInLR9Z,72,@BBCWorld
73,-0.1531,0.186,0.814,0.0,08-31-2017 20:11:55,"Houston floods: Storm Harvey 'affected 100,000 homes' https://t.co/qc2zI30Onq",73,@BBCWorld
74,-0.5994,0.206,0.794,0.0,08-31-2017 14:09:13,"20 years after her death, we look back at the life of #PrincessDiana https://t.co/lRK89NtOZ8 #Diana20 https://t.co/jZJ9fHSzvw",74,@BBCWorld
75,0.7579,0.0,0.745,0.255,08-31-2017 09:15:21,"RT @BBC_HaveYourSay: ""I am lucky to have met her - this should be a time to celebrate her life."" Remembering Princess Diana https://t.co/gm…",75,@BBCWorld
76,-0.0772,0.302,0.698,0.0,08-30-2017 23:33:52,Two worlds collide https://t.co/5UkHdkmrJb,76,@BBCWorld
